Group,Genus,Species,Paper,Authors,Journal,Peer_reviewed,Year,Link,Sex,Experiment_location,Swarming_time,Copula_observed,Swarming.duration..min.,Start..relative.to.sunrise.,Start..relative.to.sunset.,Sweep_net_used,Males.collected..field.,Swarm.size.by.eye..field.,Height..m.above.ground.
Ae. melanimon,Aedes,melanimon,Swarming and mating of some California mosquitoes,Kliewer J.W.; Rosay B.; Miura T.; Myers C.M.; Boreham M.M.,Journal of Medical Entomology,Y,1967,https://doi.org/10.1093/jmedent/4.4.490,Male,Field,Dawn,Y,56,,,N,,,
Ae. nigripes,Aedes,nigripes,Swarming of blood-sucking mosquitos in regions of northern Siberia and the Far East,Poliakova P.E.,Parazitologiia,Y,1974,https://pubmed.ncbi.nlm.nih.gov/4156396/,Male,Field,Daylight,N,,,,N,,,
Ae. nigripes,Aedes,nigripes,Swarming of blood-sucking mosquitos in regions of northern Siberia and the Far East,Poliakova P.E.,Parazitologiia,Y,1974,https://pubmed.ncbi.nlm.nih.gov/4156396/,Male,Field,Dusk,N,,,,Y,,,
Ae. nigromaculis,Aedes,nigromaculis,Swarming and mating of some California mosquitoes,Kliewer J.W.; Rosay B.; Miura T.; Myers C.M.; Boreham M.M.,Journal of Medical Entomology,Y,1967,https://doi.org/10.1093/jmedent/4.4.490,Male,Field,Dusk,Y,21.7,,,N,,,
Ae. nigromaculis,Aedes,nigromaculis,Swarming and mating of some California mosquitoes,Kliewer J.W.; Rosay B.; Miura T.; Myers C.M.; Boreham M.M.,Journal of Medical Entomology,Y,1967,https://doi.org/10.1093/jmedent/4.4.490,Male,Field,Dawn,Y,34,,,N,,,
Ae. polynesiensis,Aedes,polynesiensis,Swarming behavior of Aedes polynesiensis (Diptera: Culicidae) and characterization of swarm markers in American Samoa,Tuten H.C.; Stone C.M.; Dobson S.L.,Journal of Medical Entomology,Y,2013,https://doi.org/10.1603/me13026,Male,Field,Dusk,Y,,,-120,Y,3.5,,0.5
Ae. provocans,Aedes,provocans,Swarming and Mating in Aedes provocans (Diptera: Culicidae),Smith S.M.; Gadawski R.M.,The Great Lakes Entomologist,Y,1994,https://doi.org/10.22543/0090-0222.1858,Male,Field,Dusk,Y,75,,-74.5,Y,,,8.4
Ae. pullatus,Aedes,pullatus,Swarming of blood-sucking mosquitos in regions of northern Siberia and the Far East,Poliakova P.E.,Parazitologiia,Y,1974,https://pubmed.ncbi.nlm.nih.gov/4156396/,Male,Field,Daylight,N,,,,N,,,
Ae. pullatus,Aedes,pullatus,Swarming of blood-sucking mosquitos in regions of northern Siberia and the Far East,Poliakova P.E.,Parazitologiia,Y,1974,https://pubmed.ncbi.nlm.nih.gov/4156396/,Male,Field,Dusk,N,,,,N,,55,
Ae. punctor,Aedes,punctor,"Mating swarms of males of the mosquito, Aedes punctor (Kirby), in Alaska",Frohne W.C.; Frohne R.G.,Mosquito News,Y,1952,https://www.biodiversitylibrary.org/content/part/JAMCA/MN_V12_N4_P248-251.pdf,Male,Field,Dusk,Y,120,,,N,,538,
